normalized_name,source,canonical_id
curtis blaydes,ufc,de831203e050cdaf
josh hokit,ufc,d39a1677910874e9
dominick reyes,ufc,ae7ec1ba7a87231d
johnny walker,ufc,f52a77241dedd0fd
cub swanson,ufc,fdacef13c6f1d17a
nate landwehr,ufc,01de2cb017a2285d
aaron pico,ufc,c91e400809d7f272
kevin holland,ufc,b577c6fa8060ff5c
randy brown,ufc,139240f3f69c1af6
mateusz gamrot,ufc,6f8b8d1f2f3b7fcc
esteban ribovics,ufc,b64c3d4ac407dfce
tatiana suarez,ufc,950f97f606ad601f
loopy godinez,ufc,b0959ad762762a12
chris padilla,ufc,6a5a96149763aeef
marquel mederos,ufc,bb76e767e4bf0b9a
kelvin gastelum,ufc,ebc4e432a92c3628
vicente luque,ufc,7eb5ea10a1a59139
charles radtke,ufc,b592dbfd55f9fa7c
francisco prado,ufc,505fe82b2d6baf48
renato moicano,ufc,f91a8fe9ad32751f
chris duncan,ufc,5d49240c45a2a624
virna jandiroba,ufc,c677e653df81851a
tabatha ricci,ufc,f27df41475ce0c44
abdul rakhman yakhyaev,ufc,8d4cda2a290cc491
brendson ribeiro,ufc,af48657df8015e6d
ethyn ewing,ufc,82f88b53fc143497
rafael estevam,ufc,070750e76792d168
tommy mcmillen,ufc,006859adbc880edd
manolo zecchini,ufc,38b46d37f0433714
jose delano,ufc,2ccab022787c0132
robert ruchala,ufc,8ab166e422390e19
guilherme pat,ufc,5559b70c45c58628
thomas petersen,ufc,af733fdd68401f60
alessandro costa,ufc,14a2fa2dd23e71d3
stewart nicoll,ufc,b2b19b8c517cc5a0
lando vannata,ufc,088be1c84c33ee73
darrius flowers,ufc,f9e0aa1af1d6a50a
alice pereira,ufc,17614fce44112efa
hailey cowan,ufc,ba79f6bac3682eb1
azamat bekoev,ufc,938dc74b9de9c415
tresean gore,ufc,7bea6275b1fcbfa4
dione barbosa,ufc,7e02c6105357be18
melissa gatto,ufc,8f8896b8e9a60609
dakota hope,ufc,598430d5dbee5664
israel adesanya,ufc,5842f43eb1269085
joe pyfer,ufc,154db60abecdd988
alexa grasso,ufc,2f089bd2b4bc0145
maycee barber,ufc,c9bce4b58587da90
michael chiesa,ufc,a9b7c0eff1396b5b
niko price,ufc,e3116e06ecdcad09
julian erosa,ufc,7dbe9bb9a5b973b5
lerryan douglas,ufc,26f15079cf039c8c
mansur abdulmalik,ufc,b9562bf0e19e971a
yousri belgaroui,ufc,02e16570ff7efb38
terrance mckinney,ufc,d75d3c014f3a0d70
kyle nelson,ufc,14969e972edf065c
ignacio bahamondes,ufc,1979d2ef989e7265
tofiq musayev,ufc,453d16339a1c9b31
chase hooper,ufc,61aca8157bf71afd
lance gibson jr,ufc,60dd552a80e10dab
marcin tybura,ufc,3a7dd104278b1800
tyrell fortune,ufc,41e41e4d372a0ff3
casey oneill,ufc,357346d53e3f2652
gabriella fernandes,ufc,99ea8e8d3db8f1a9
navajo stirling,ufc,0b43bf0acbd22ca3
bruno lopes,ufc,d13c8ceda8609795
ricky simon,ufc,a0811e03ef7082c8
adrian yanez,ufc,f11750d4f48eb942
